Timestamp,OrganizationName,OrganizationType,Role,OrganizationSize,IT_Size,CustomerOrganizationType,EstimatedDurationInMonths,ActualdurationInMonths,SoftwareType,DomainApplication,EstimatedCost,ActualCost,SoftwareComplextity,ProjectMethodology,ProgrammingLanguage,DBMSoftware,FactorInfluence,OverallSatisfactionOfDevelopers,AvailabilityOfSkilledDeveloper,SkillsUtilized,CommunicationAmongTeam,IncomeSatisfaction,ResourceContribution,Challenges,MarketTrend,PressureToMeetDeadline,UserSatisfactionLevel,UserEngagement,UserFeedback,ChallengesEncountered,AdditionalInformation,ProjectManagement ToolImpact
6/6/2024 18:01,Pyvot360,Private Software Company,Developer,Jan-50,10-Jan,Public Company,3,5,New Software Development,Web Application,"₦200,000","₦250,000",3,Agile,"Python, JavaScript, Node",PostgreSQL,External dependencies and integrations,Satisfied,Moderate,"Yes, skills are utilized effectively",Fair,Normal,External services/vendors,No challenges,Moderately,"Yes, occasionally",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
6/7/2024 10:26,Mysogi ads,Private Software Company,Developer,50 - 100,20-Oct,Public Company,6,6,New Software Development,Mobile Application,"₦500,000","₦200,000",6,Agile,JavaScript,MYSQL,Project scope and requirements,Satisfied,Scarce,"Yes, skills are utilized effectively",Excellent,Very Satisfied,Labor/Development,Minor challenges,Significantly,"Yes, occasionally",Very satisfied,,"Yes, positive feedback",,,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
6/7/2024 19:27,FrontEndLabs,Private Software Company,Software Engineer,Jan-50,20-Oct,,4,4,New Software Development,Mobile Application,"₦15,000,000","₦16,500,000",8,Agile,Kotlin,MYSQL,"Project scope and requirements, Technology stack and complexity, Team composition and expertise, External dependencies and integrations",Very satisfied,Scarce,"Yes, skills are utilized effectively",Good,Normal,Labor/Development,Minor challenges,,,Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback",,,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
6/8/2024 14:42,Aya ,Private Software Company,Developer,50 - 100,20 - 50,In-house Development,5,4,New Software Development,Financial Management,"₦10,000,000","₦7,000,000",7,Agile,"JavaScript, . C#, HTML/Javascript / PHP",PostgreSQL,"Project scope and requirements, Team composition and expertise, External dependencies and integrations",Satisfied,Abundant,"Yes, skills are utilized effectively",Good,Normal,Labor/Development,Minor challenges,Significantly,"Yes, consistently",Very satisfied,"Moderately engaged, occasional usage","Yes, positive feedback",,,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
6/9/2024 7:02,TMoney,Private Software Company,Software Engineer,Jan-50,10-Jan,Bank,2,5,New Software Development,Banking System,"₦10,000,000","₦12,000,000",9,Agile,HTML/Javascript / PHP,MYSQL,"Project scope and requirements, External dependencies and integrations",Very satisfied,Abundant,"Yes, skills are utilized effectively",Good,Very Satisfied,Infrastructure,Minor challenges,Significantly,"Yes, consistently",Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback",Third party integration and government ,None,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
6/9/2024 7:06,Grazac,Private Software Company,Developer,Jan-50,10-Jan,Department of a private company,1,1,New Software Development,Web Application,0,"₦20,000,000",9,Agile,"JavaScript, HTML/Javascript / PHP",Oracle,"Project scope and requirements, Technology stack and complexity, Team composition and expertise",Very satisfied,Abundant,"Yes, skills are utilized effectively",Good,Very Satisfied,Infrastructure,Minor challenges,Significantly,"Yes, consistently",Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback",Government (Tinubu),Nonr,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
6/9/2024 11:33,Darkness Inc.,Private Software Company,UI / UX Designer,> 500,> 50,In-house Development,3,3,New Software Development,Mobile Application,"₦1,000,000","₦1,000,000",7,Hybrid Methodology,JavaScript,MYSQL,"Project scope and requirements, Technology stack and complexity, Team composition and expertise, External dependencies and integrations",Satisfied,Moderate,"Yes, skills are utilized effectively",Excellent,Satisfied,Infrastructure,Minor challenges,Moderately,"Yes, consistently",Satisfied,"Moderately engaged, occasional usage","Yes, positive feedback",,,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
6/15/2024 21:17,MyPocketcounsel,Private Software Company,Software Engineer,Jan-50,10-Jan,Legal Companies and personnels,9,9,New Software Development,Web Application,"₦200,000,000","₦200,000,000",7,Scrum,JavaScript,Firebase,Technology stack and complexity,Very satisfied,Moderate,"Yes, skills are utilized effectively",Excellent,Satisfied,Labor/Development,Minor challenges,Moderately,"Yes, consistently",Satisfied,"Highly engaged, frequent usage","Yes, mixed feedback","One of the primary challenges we face during the software cost estimation process is dealing with unclear or evolving requirements. At the beginning of a project, stakeholders often provide high-level requirements that lack detailed specifications, making it difficult to accurately estimate the scope and effort involved. To address this, we conduct thorough requirement gathering sessions and involve stakeholders early in the process to refine and clarify the project requirements. 

","In our organization, we continuously strive to improve our software cost estimation processes through regular reviews and feedback loops. After completing projects, we conduct post-mortem analysis to identify areas where our estimates were off and to understand the reasons behind any discrepancies. This continuous improvement approach allows us to refine our estimation techniques and learn from past experiences. 

Effective communication with stakeholders is another critical aspect of our estimation process. We emphasize the importance of transparent communication, making sure that stakeholders understand that estimates are approximations subject to change based on various factors. ","We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
8/18/2024 18:35,Freelance,Freelancer,Software Engineer,> 500,> 50,Public Company,8,7,New Software Development,Web Application,"₦1,000,000","₦1,500,000",6,Agile,"JavaScript, HTML/Javascript / PHP",Oracle,"Project scope and requirements, Technology stack and complexity",Very satisfied,Moderate,"Yes, skills are utilized effectively",Good,Satisfied,Infrastructure,No challenges,Moderately,"Yes, occasionally",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",Inflation,,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
8/18/2024 18:40,Upwork,Freelancer,Developer,> 500,20-Oct,Public Company,12,10,New Software Development,Mobile Application,"₦800,000","₦700,000",5,WaterFall,Java,MYSQL,"Technology stack and complexity, External dependencies and integrations",Neutral,Moderate,"Yes, skills are utilized effectively",Good,Satisfied,Labor/Development,Minor challenges,Significantly,"Yes, occasionally",Neutral,"Moderately engaged, occasional usage","Yes, mixed feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
8/18/2024 18:47,,Private Software Company,Technical Consultant,Jan-50,10-Jan,Factory,9,7,Maintenance of Existing Software,Web Application,"₦500,000","₦300,000",7,Agile,"JavaScript, HTML/Javascript / PHP",Oracle,Team composition and expertise,Very satisfied,Moderate,"Somewhat, but there is room for improvement",Good,Very Satisfied,Labor/Development,No challenges,Minimally,"Yes, occasionally",Neutral,"Highly engaged, frequent usage","Yes, positive feedback",Funds,Not at all,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
8/18/2024 18:53,Online,Freelancer,Developer,> 500,> 50,Public Company,4,5,Upgrading Existing Software,Mobile Application,"₦400,000","₦600,000",4,Agile,"Java, HTML/Javascript / PHP",Oracle,Project scope and requirements,Satisfied,Moderate,"Yes, skills are utilized effectively",Good,Satisfied,Labor/Development,Minor challenges,Moderately,"Yes, occasionally",Satisfied,"Moderately engaged, occasional usage","Yes, positive feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
8/18/2024 19:01,,Federal Ministry,Software Engineer,> 500,> 50,Public Company,12,9,New Software Development,Mobile Application,"₦3,000,000","₦5,000,000",9,WaterFall,"JavaScript, HTML/Javascript / PHP",Oracle,External dependencies and integrations,Satisfied,Abundant,"Yes, skills are utilized effectively",Good,Very Satisfied,Infrastructure,No challenges,Significantly,"Yes, consistently",Satisfied,"Highly engaged, frequent usage","Yes, positive feedback",government,,"We did not use project management tools and techniques, or their impact on cost estimation accuracy was negligible"
8/18/2024 19:04,,Freelancer,Project Manager,> 500,> 50,Public Company,6,4,Maintenance of Existing Software,ERP,"₦700,000","₦600,000",4,No Methodology,Java,PostgreSQL,"Project scope and requirements, External dependencies and integrations",Very satisfied,Moderate,"Yes, skills are utilized effectively",Good,Normal,Labor/Development,Minor challenges,Moderately,"Yes, occasionally",Neutral,"Highly engaged, frequent usage","Yes, mixed feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
8/18/2024 19:12,,Private Software Company,UI / UX Designer,Jan-50,10-Jan,In-house Development,2,3,New Software Development,ERP,"₦2,200,000","₦2,500,000",8,Agile,Java,PostgreSQL,Project scope and requirements,Satisfied,Abundant,"Somewhat, but there is room for improvement",Good,Very Satisfied,Infrastructure,Minor challenges,Significantly,"Yes, occasionally",Neutral,"Low engagement, sporadic usage","Yes, positive feedback",Cost,Nope,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
8/18/2024 19:16,,Freelancer,Software Engineer,> 500,> 50,Public Company,7,5,Modifying Existing Software,Web Application,"₦500,000","₦350,000",4,Agile,"JavaScript, HTML/Javascript / PHP",MYSQL,"Project scope and requirements, Technology stack and complexity",Neutral,Moderate,"Somewhat, but there is room for improvement",Good,Satisfied,Infrastructure,Minor challenges,Significantly,"Yes, consistently",Very satisfied,"Highly engaged, frequent usage","Yes, mixed feedback",,,Not applicable/I don't know
8/18/2024 19:21,,Freelancer,Developer,> 500,> 50,Public Company,3,2,Maintenance of Existing Software,Mobile Application,"₦600,000","₦400,000",5,Agile,Python,MYSQL,Project scope and requirements,Neutral,Moderate,"Somewhat, but there is room for improvement",Excellent,Very Satisfied,Labor/Development,Minor challenges,Moderately,"Yes, occasionally",Very satisfied,"Highly engaged, frequent usage","Yes, mixed feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
8/18/2024 19:28,,Private Software Company,UI / UX Designer,100 - 500,10-Jan,Department of a private company,8,6,Modifying Existing Software,E-Commerce,"₦800,000","₦700,000",6,Agile,Java,PostgreSQL,Project scope and requirements,Satisfied,Abundant,"Yes, skills are utilized effectively",Excellent,Satisfied,Labor/Development,No challenges,Significantly,"Yes, occasionally",Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback","Inflation
Tinubu",,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
8/18/2024 19:30,,Corporate IT department,Project Manager,Jan-50,10-Jan,Department of a private company,12,10,New Software Development,Banking System,"₦3,500,000","₦4,800,000",7,Agile,"JavaScript, HTML/Javascript / PHP",MYSQL,Technology stack and complexity,Neutral,Moderate,"Yes, skills are utilized effectively",Good,Very Satisfied,Infrastructure,Minor challenges,Significantly,"Yes, consistently",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",,,"We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
